text,category,source,origin
Sex and the smackdown: the crazy world of wrestling cult comic Andy Kaufman,Wrestling,2023-09-26,news_dataset
Transfer Portal and SEC Baseball with Chris Burke - The Highway ...,Baseball,2023-10-16,news_dataset
Horse racing tips for Wednesday: Dave Nevison's best bets,Horse Racing,2023-09-21,news_dataset
Mother killed in ATV crash while delivering items at horse racing event,Horse Racing,2023-11-08,news_dataset
Rugby World Cup 2023 Match Preview: Georgia v Portugal,Rugby,2023-10-01,news_dataset
The Lakes golf club suspended MST Financial stockbroker Gerard ...,Golf,2023-11-03,news_dataset
Hangzhou 2022 APG Archery: China favourite in recurve ...,Archery,2023-10-14,news_dataset
Swimming and Diving Unveil 2023-24 Schedule,Swimming,2023-10-08,news_dataset
Ireland scalp is the one the All Blacks want as they rediscover their mojo,Rugby,2023-10-30,news_dataset
Redbird reunion: Former Illinois State baseball teammates make ...,Baseball,2023-11-03,news_dataset
Clinical India beat Pakistan to maintain perfect Cricket World Cup record,Cricket,2023-10-14,news_dataset
Disney throws a lifeline to US Open tennis players amid cable blackout,Tennis,2023-10-05,news_dataset
"Transgender female takes gold in women's fencing championships, sparking outrage",Fencing,2023-10-18,news_dataset
You know you are a true road cyclist when?,Cycling,2023-10-19,news_dataset
Scottie Scheffler named PGA Tour Player of the Year after double major win in 2025,Sports,CNN,sports_politics_data
Kerber stuns Williams to win Australian Open title,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"DPS Ranchi Shines in CBSE East Zone Chess, Athletics, and Judo Championships 2023!",Athletics,2023-11-03,news_dataset
This Arizona city is the best in the US for golfers. Here's why,Golf,2023-10-12,news_dataset
"World Champion Swimmer Spotted “Gliding” Through Pool, 13 ...",Swimming,2023-10-12,news_dataset
"Chess Boxing: Meaning, History, Rules & Challenges",Boxing,2023-10-03,news_dataset
"CM Khattar announces setting up of 2 shooting, archery training centres",Archery,2023-11-03,news_dataset
VideoWho were the two friends of Anthony Joshua that were killed?0:48,Sports,CNN,sports_politics_data
Djokovic ends Murray's 11-match winning run,Sports,https://www.bbc.com/sport,historical_timeline_sports
Mickleover taekwondo black belt 'lost his way' and turned to drug dealing,Tae Kwon Do,2023-11-09,news_dataset
Video: Hamas gunman's chilling GoPro footage shows deadly rampage and his death,Fencing,2023-10-18,news_dataset
Aiming for bullseye: Jyoti hopeful of golden display,Archery,2023-10-14,news_dataset
Men's Ice Hockey: A look into the upcoming season,Ice Hockey,2023-10-04,news_dataset
Serena Williams takes step necessary to return to professional tennis but says she’s ‘NOT coming back’,Sports,CNN,sports_politics_data
Pride at stake for Sri Lanka as ODI cricket returns to SSC,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Maximize Comfort And Capability With The Best Ski Socks Of 2023,Snowboarding,2023-10-19,news_dataset
"Surfer Who Suffered Shark Attack on Face Reveals Wounds, Says it ...",Surfing,2023-09-20,news_dataset
Thailand wins Asian Games’ first esports medal,Esports,2023-09-29,news_dataset
Tournament schedule for 2024 announced by USA Archery,Archery,2023-10-01,news_dataset
Why American football league NFL has changed its ‘concussion protocol’,American Football,2023-09-16,news_dataset
Paris 2024 announces marathon and cycling road racing courses for the Paralympics,Cycling,2023-10-30,news_dataset
New Mexico Ski Hall of Fame inducts its first snowboarders,Snowboarding,2023-10-31,news_dataset
Artwave: the world's smartest surf pool technology,Surfing,2023-10-03,news_dataset
Top Indian shuttlers pull out of Grand Prix Badminton League,Badminton,2023-09-21,news_dataset
India table tennis squad for Asian Games 2023 - full team list,Table Tennis,2023-11-25,news_dataset
The monster search to find Australia’s next American football star,American Football,2023-10-01,news_dataset
6 South Dakota high school baseball players charged with rape,Baseball,2023-10-09,news_dataset
International Premier Tennis League,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Fact or Fiction: Former major leaguer playing professional baseball ...,Baseball,2023-09-27,news_dataset
Nocturnal Cycling – 5 Reasons You Should Try It,Cycling,2023-10-06,news_dataset
Bangladesh fined for slow over-rate in Men's Cricket World Cup ...,Cricket,2023-11-03,news_dataset
Asian Games 2023: Table Tennis men's singles final: Wang Chuqin ...,Table Tennis,2023-10-18,news_dataset
Kusal Mendis hopes for improved show at Newlands,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"Starz Gymnastics Level 7 Takes First Place | News, Sports, Jobs",Gymnastics,2023-11-14,news_dataset
South Asia’s largest indoor athletics stadium to be ready by December,Athletics,2023-11-18,news_dataset
"Jake Shields charged with misdemeanor battery following alleged attack on Mike Jackson, bench warrant issued",MMA,2023-10-15,news_dataset
16-year-old Korean Lee Chae-un wins snowboard halfpipe title at ...,Snowboarding,2023-10-15,news_dataset
Peru tops Plattsburgh in gymnastics | Sports | pressrepublican.com,Gymnastics,2023-09-23,news_dataset
USAG must allow scrutiny. Denying writer a credential shocking error.,Gymnastics,2023-09-22,news_dataset
Asian Games boxing: Filipino pug Fajardo knocks out Bhutan fighter in less than 20 seconds,Boxing,2023-09-24,news_dataset
Boris Becker: “The tennis community made it very easy for me to re ...,Tennis,2023-11-26,news_dataset
"Novak Djokovic, The Ageless Wonder",Tennis,2023-10-16,news_dataset
The million-dollar hustle changing US sport - how college football athletes are cashing in,American Football,2023-11-08,news_dataset
How Makenna Webster shines in both field hockey and ice hockey ...,Ice Hockey,2023-10-05,news_dataset
"Surfer Andrew ‘Cotty’ Cotton On Nazare, Garrett McNamara, Fear, More",Surfing,2023-11-09,news_dataset
Where to learn surfing in Goa this season,Surfing,2023-09-27,news_dataset
Celebrating 10 years of officiating,Athletics,2023-09-19,news_dataset
Keydet Men's Basketball Rolls to 100-63 win over Clarks Summit ...,Basketball,2023-11-26,news_dataset
Wawrinka to meet Baghdatis in Dubai Championships,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
How Joseph Parker lost his status as New Zealand's top male boxer ...,Boxing,2023-09-21,news_dataset
National Ability Center Unveils Ski and Snowboard Mountain Center,Snowboarding,2023-09-15,news_dataset
Report claims Eddie Jones in secret Zoom job interview before ...,Rugby,2023-09-24,news_dataset
"Annu Rani, Jyothi Yarraji, and Kishore Jena set to play at 2023 National Open Athletics Championships",Athletics,2023-10-11,news_dataset
Ice hockey pro dies after neck cut by blade in 'freak accident',Ice Hockey,2023-11-10,news_dataset
Conor McGregor Sends Blunt Message Following Logan Paul's DQ ...,MMA,2023-11-10,news_dataset
Best Kids' Skis for 2023-2024 Skiing Adventures,Skiing,2023-09-16,news_dataset
Pierre Gasly left fuming at Japanese GP after Alpine & Esteban ...,Formula1,2023-09-27,news_dataset
"Ben Stokes an injury doubt for England's Cricket World Cup opener, says captain Jos Buttler",Cricket,2023-10-06,news_dataset
Corey Taylor Recalls Encounters with Lemmy and Dave Grohl,Table Tennis,2023-11-08,news_dataset
Readers Respond to the Wild Ideas of SI Golf's Bad Takes Week,Golf,2023-11-14,news_dataset
Women's Ice Hockey Captures Two CHA Monthly Awards,Ice Hockey,2023-10-23,news_dataset
Soaring India meet flat England on last chance | It Takes One Day ...,Cricket,2023-10-30,news_dataset
Tyson Fury vs. Oleksandr Usyk undisputed heavyweight boxing title ...,Boxing,2023-10-08,news_dataset
TTAK bids for Senior National table tennis with plans to host it in Kochi,Table Tennis,2023-09-25,news_dataset
Overheated baby warmer kills infant in Meeru...,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Wyoming Horse Racing LLC debuts new historical horse racing ...,Horse Racing,2023-10-28,news_dataset
Viking Women’s Swimming & Diving Picked to Repeat as NSIC ...,Swimming,2023-09-22,news_dataset
"Ivor Robson, Golf's Celebrated Voice at the British Open, Dies at 83",Golf,2023-10-28,news_dataset
'No magic' way to improve Man Utd,Sports,https://www.bbc.com/sport,historical_timeline_sports
Lennox returns to state volleyball for first time since 1989,Volleyball,2023-11-16,news_dataset
India cagers stun Israel in 3x3 U-18 basketball World Cup,Basketball,2023-09-27,news_dataset
Tigers Rangers Baseball | | lancasteronline.com,Baseball,2023-11-01,news_dataset
Bombers gymnastics claims second at season opener,Gymnastics,2023-10-01,news_dataset
International Premier Tennis League,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
Harry and Meghan make surprise appearance at Vancouver ice ...,Ice Hockey,2023-11-26,news_dataset
Taekwondo players forced to choose as Asian Games selection trials scheduled on same dates as World Championships,Tae Kwon Do,2023-09-29,news_dataset
"""That's a really tough question"" - Maria Sharapova laughs off ...",Tennis,2023-11-26,news_dataset
"IND vs ENG Highlights World Cup: IND beat ENG by 100 runs, extend streak to six",Cricket,2023-11-05,news_dataset
Uzbekistan's ice hockey renaissance inspires a new generation of ...,Ice Hockey,2023-11-10,news_dataset
Badminton Asia Sea Regional Junior Championship 2023 a first for ...,Badminton,2023-11-03,news_dataset
10 Strange Storyline Couples That Disturbed Wrestling Fans,Wrestling,2023-10-05,news_dataset
"ടേബിള്‍ ടെന്നീസില്‍ ചരിത്രമെഴുതി അയ്ഹികയും സുതീര്‍ത്ഥയും, സെമിയില്‍ പൊരുതിവീണു",Table Tennis,2023-10-03,news_dataset
Frank Warren predicts a shootout when Fury takes on Ngannou,Boxing,2023-10-13,news_dataset
•GalleryGalleryKim Kulish/Corbis/Getty Images,Sports,CNN,sports_politics_data
"""The hunger in his speech…"" - Khamzat Chimaev's message of purpose grips MMA fans",MMA,2023-09-25,news_dataset
BWF Denmark Open 2023: Chen Yufei claims title by beating ...,Badminton,2023-11-18,news_dataset
Romsey girl raising money to compete in international taekwondo ...,Tae Kwon Do,2023-09-19,news_dataset
Read more on 'Not perfect' Joshua plans to keep feet on the ground,Sports,https://www.bbc.com/sport,historical_timeline_sports
Tze Yong passes Zii Jia in Race to Paris,Badminton,2023-10-07,news_dataset
Plans to turn Gorey badminton hall into retail unit are appealed to An ...,Badminton,2023-09-27,news_dataset
Skiing Introduces 10-Member Class of 2027 - Harvard University,Skiing,2023-11-03,news_dataset
"After Horse Racing Accident, Nebraska Equestrian Jockey Makes a ...",Horse Racing,2023-10-23,news_dataset
International Premier Tennis League,Sports,https://timesofindia.indiatimes.com/sports,historical_timeline_sports
"Live Cricket Score: [14th Nov 2023] Test, ODI, and T20 Matches Score Card Today | लाइव क्रिकेट स्कोर - AajTak",Cricket,2023-11-14,news_dataset
‘Killer’ driver was on two-hour crime spree,Cycling,2023-09-24,news_dataset
Oscar de la Hoya backs Ryan García after his loss vs 'Tank' Davis: 'He will be a superstar',Boxing,2023-11-06,news_dataset
Frank Smith: the Matchroom boss and Anthony Joshua promoter on his bid to avoid becoming ‘bitter old man’ of boxing,Boxing,2023-10-17,news_dataset
As it Happened Live! | Day 1 Finals from the Swimming World Cup ...,Swimming,2023-11-18,news_dataset
"Asian Games 2023 at Hangzhou 2022: Boxing preview, full ...",Boxing,2023-09-29,news_dataset
Colonels Return Home to Face Campbellsville-Harrodsburg,Athletics,2023-11-25,news_dataset
"2023 F1 Mexican GP – How to watch, session timings and more",Formula1,2023-10-24,news_dataset
China dominates home Asian Games,Swimming,2023-10-05,news_dataset
Football Welcomes Williams Saturday For Home Opener at Whittier ...,Football,2023-09-21,news_dataset
Babar Azam To Step Down As Pakistan Captain After ICC Cricket World Cup 2023,Cricket,2023-11-14,news_dataset
"No ice-vending machines like in US, need to break slabs with a dagger, but Tejaswin back in India to bid for decathlon national record at Asiad",Athletics,2023-09-21,news_dataset
Formula 1: How do a safety car and virtual safety car work in F1,Formula1,2023-11-10,news_dataset
Women's S&D Set For Saturday Meet at Buffalo - Ball State ...,Athletics,2023-10-28,news_dataset
College football Week 5 overreactions: Georgia isn't really No. 1,Football,2023-10-03,news_dataset
Coker talks ‘negative comments’ from Dana White and Bellator’s future,MMA,2023-10-08,news_dataset
Wales: Rugby World Cup 2023 review ｜ Rugby World Cup 2023,Rugby,2023-10-16,news_dataset
General Motors registers as Formula 1 power unit supplier | GRAND PRIX 247,Formula1,2023-11-14,news_dataset
Giftable gear to keep you warm on winter rides,Cycling,2023-11-10,news_dataset
Salmon Announces 2023-24 Fencing Schedule - Temple,Fencing,2023-10-13,news_dataset
"Nygaard: ""I'd be surprised if Northug isn't in contention for victory on ...",Skiing,2023-09-27,news_dataset
How ‘armless archer’ Matt Stutzman transformed a Paralympic sport,Archery,2023-11-03,news_dataset
Ultra-exclusive private golf course opens in South Florida — with $1 million membership fee,Golf,2023-10-10,news_dataset
Freshmen eager for Virginia Tech men's basketball debuts,Basketball,2023-11-04,news_dataset
Five female swimmers to watch at this year's World Aquatics ...,Swimming,2023-09-30,news_dataset
Santiago 2023 - U.S. women's artistic gymnastics team golden again ...,Gymnastics,2023-10-30,news_dataset
European Ski Resorts Forced to Shut Down Completely Due to ...,Snowboarding,2023-10-11,news_dataset
Twins taking on European running and cycling challenges in tribute ...,Cycling,2023-10-12,news_dataset
Cyclist sues Arnold Schwarzenegger for collision in February,Cycling,2023-11-08,news_dataset
Roy Jones Jr. sends warning to Terence Crawford after watching Canelo beat Jermell Charlo,Boxing,2023-10-03,news_dataset
"Tennis, WTA – Zhengzhou Open 2023: Kasatkina beats Babos",Tennis,2023-10-10,news_dataset
10 Best American Football Movies of All Time,American Football,2023-11-04,news_dataset
Missed Fists: Backfist knockout reduces fighter to jelly,MMA,2023-10-15,news_dataset
Chelsea sign France U21 defender Kurt Zouma for Â£12m - and loan him back to St Etienne for the rest of the season,Sports,https://www.bbc.com/sport,historical_timeline_sports
Betting in football: players struggle with addiction but owners play by different rules,Football,2023-09-25,news_dataset
Army extends football coach Jeff Monken through '27 season - ESPN,Football,2023-09-18,news_dataset
Bhullar opens with 63 to lead Indonesian Masters,Golf,2023-11-16,news_dataset
How McLaren has revamped its F1 team to become a contender again,Formula1,2023-09-25,news_dataset
Sukant Kadam wins silver at Western Australia Para-Badminton ...,Badminton,2023-11-04,news_dataset
Jake Jarman leaves fans in stitches with 'top-tier reaction' upon landing Yonekura vault to win gold at the Wo,Gymnastics,2023-10-09,news_dataset
Why executives at Esports Business Summit are (still) bullish on ...,Esports,2023-11-09,news_dataset
"College football Week 5: Reality checks, receivers to watch - ESPN",Football,2023-09-29,news_dataset
Tennessee Lady Vols basketball live score updates vs. Memphis,Basketball,2023-11-14,news_dataset
Verstappen would “give up F1 World Championship” to see Hirving Lozano win the Champions League,Formula1,2023-10-24,news_dataset
"Read more on PSG sign Mbappe, 18, on loan - can make it permanent for Â£165.7m",Sports,https://www.bbc.com/sport,historical_timeline_sports
Meet the Freshmen: 2023-24 Michigan Wrestling - University of ...,Wrestling,2023-10-12,news_dataset
Carroll Women Look to Remain Unbeaten at Bushnell,Athletics,2023-09-29,news_dataset
Cypress Lakes Darrin Samuels nets new accolade for coaching career,Basketball,2023-09-25,news_dataset
Competition schedule for the 2024 IIHF Ice Hockey U18 Women's ...,Ice Hockey,2023-10-01,news_dataset
Iowa basketball veterans do what is expected after tough loss,Basketball,2023-11-25,news_dataset
Newcastle stage late fightback to beat Brighton,Sports,https://www.bbc.com/sport,historical_timeline_sports
Morning Report: Aljamain Sterling would be ‘very ecstatic’ for Sean O’Malley rematch at featherweight,MMA,2023-11-18,news_dataset
A$AP Rocky named Creative Director of PUMA and Formula 1's partnership,Formula1,2023-11-09,news_dataset
Eight things learned from the 2023 Wrestling World Championships,Wrestling,2023-10-06,news_dataset
Korea Masters 2023 badminton: India's challenge ends in first round,Badminton,2023-11-11,news_dataset
Volleyball plays Colby tough in four-set loss in Maine,Volleyball,2023-10-15,news_dataset
BREAKING: Man arrested on suspicion of manslaughter of Adam ...,Ice Hockey,2023-11-14,news_dataset
Esports World Cup 2024: Saudi Arabia's Stance As Esports Hub Sparks Excitement In Indian Gaming Sector,Esports,2023-11-03,news_dataset
AEW's Don Callis Explains His Methodology For Assembling His ...,Wrestling,2023-10-12,news_dataset
Asofa-Solomona makes statement as footballers show their fight,Boxing,2023-10-07,news_dataset
Table Tennis: Vikas The Concept School enter semis,Table Tennis,2023-10-31,news_dataset
Lady Topper Basketball Broadcasting Schedule Announced,Athletics,2023-10-18,news_dataset
World Archery Youth Championships 2023: India's medal winners ...,Archery,2023-09-19,news_dataset
Namdev Shirgaonkar elected unopposed as India Taekwondo chief,Tae Kwon Do,2023-11-26,news_dataset
"You can play golf: Equipment, advice you need to pick up sport",Golf,2023-10-14,news_dataset
National-level weightlifting championship from Dec 4,Table Tennis,2023-11-11,news_dataset
Ohio Football Set to Host Battle of the Bricks This Saturday - Ohio ...,Football,2023-10-25,news_dataset
"Utah gymnastics coach review finds need for change, but no abuse",Gymnastics,2023-09-23,news_dataset
Lulu Group mulling foray into football arena,Football,2023-10-01,news_dataset
Benefits of indoor cycling - eight reasons to ride inside this fall and ...,Cycling,2023-10-10,news_dataset
Will these cold weather Adidas cycling shoes be your new winter ...,Cycling,2023-10-01,news_dataset
"Delta College soccer lands fourth national runner-up finish, volleyball is sixth",Volleyball,2023-11-14,news_dataset
Undefeated Ben Tynan calls out ONE's heavyweight MMA division ...,MMA,2023-11-08,news_dataset
How to become a professional esports player,Esports,2023-09-18,news_dataset
From Snoop Dogg’s blunt to the Eagles locker room: Inside the wild world of the company changing sports memorabilia,Sports,CNN,sports_politics_data
Pune Horse Racing: Kings Ransom Gives Its Best For St. Leger,Horse Racing,2023-10-04,news_dataset
"Celebrity chef tells driver 'I'll kill you', swings baseball bat through ...",Baseball,2023-10-04,news_dataset
Women's golf swings into the new season,Golf,2023-10-17,news_dataset
"Olympic badminton champions Lee, Yang take bronze at Asian Games",Badminton,2023-10-08,news_dataset
Skiing Content Creator Releases Difficult Ski Naming Challenge,Skiing,2023-10-08,news_dataset
Dimapur Open Table Tennis C’ship held,Table Tennis,2023-09-27,news_dataset
College wrestling: Everything fans need to know about the 2023 Senior World Wrestling Championships,Wrestling,2023-09-24,news_dataset
Londonderry exhibit recognizes Burton's local history | Sports ...,Snowboarding,2023-09-25,news_dataset
Taekwondo instructor gets 50-year sentence for recording kids in changing rooms: 'Absolutely despicable',Tae Kwon Do,2023-10-01,news_dataset
"HYLO Open 2023 badminton: Get live scores, results and live stream",Badminton,2023-11-14,news_dataset
"Butland gives Â£5,000 to GB deaf team",Sports,https://www.bbc.com/sport,historical_timeline_sports
Unbridled Express Colt Tops Indiana Fall Mixed Sale's Live Portion ...,Horse Racing,2023-10-16,news_dataset
The Five Most Dangerous Waves to Surf According to Koa Rothman ...,Surfing,2023-10-05,news_dataset
Rise of Indian Badminton,Badminton,2023-09-20,news_dataset
New Zealand batsman Corey Anderson hits fastest ever international century - off 36 balls in one-day international against West Indies,Sports,https://www.bbc.com/sport,historical_timeline_sports
PM hails Jyothi Surekha Vennam for a momentous Gold in Compound Archery,Archery,2023-10-08,news_dataset
VOLLEYBALL FALLS TO FGCU,Volleyball,2023-09-17,news_dataset
Predicting Future Landing Spots for Free Agents,Wrestling,2023-10-16,news_dataset
SDSU wrestling looks to build off milestone season,Wrestling,2023-10-19,news_dataset
Athletics Ontario Signs On to Athletics Canada Commissioner's Office,Athletics,2023-11-06,news_dataset
सुलतानपुर में ताइक्वांडो में ब्लैक बेल्ट रही अमीना हुई सम्मानित: नगर कोतवाली में मिशन शक्ति के तहत आयोजित ह...,Tae Kwon Do,2023-10-23,news_dataset
Spain and USA to contest La Vila International Rugby Cup final,Rugby,2023-11-14,news_dataset
"No. 7 Football dominates Texas Tech, 57-7 - University of Texas ...",Football,2023-11-25,news_dataset
Horseracing industry: Government support and recent developments ...,Horse Racing,2023-09-18,news_dataset
Freestyle vs freeride skiing: What's the difference?,Skiing,2023-10-30,news_dataset
"St. Johns County's double title: Ponte Vedra boys, Beachside girls ...",Golf,2023-11-09,news_dataset
Engagement to develop North South Cycling Corridor,Cycling,2023-10-28,news_dataset
बास्केटबॉल एवं बैडमिंटन के खिलाड़ियों का चयन ट्रायल हुआ,Badminton,2023-10-19,news_dataset
Sioux Falls gymnasts have 6 weeks to prepare for season after judge restores funding,Gymnastics,2023-10-17,news_dataset
"As David de Gea Calls Cristiano Ronaldo to Invest in Esports, Here's ...",Esports,2023-11-08,news_dataset
WHEN TAEKWONDO STRIKES Special Edition release news,Tae Kwon Do,2023-11-03,news_dataset
Men's Basketball Announces 2023-24 Team Captains - Saint ...,Basketball,2023-11-05,news_dataset
POWER RANKINGS: One driver rises above the rest as the judges scores come in from a dramatic Zandvoort weekend,Formula1,2023-09-17,news_dataset
